"Mission";"Programme";"Libellé.programme";"Action";"Libellé.action";"T1";"T2";"T3";"T4";"T5";"T6";"T7";"Total.général"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"1";"Coordination du travail gouvernemental";"";"67205332";"44145719";"";"211880";"8349011";"";"119911942"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"2";"Coordination de la sécurité et de la défense";"";"44636541";"127290199";"";"7397179";"1843303";"";"181167222"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"3";"Coordination de la politique européenne";"";"10359717";"6082947";"";"";"";"";"16442664"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"5";"Emplois déconcentrés des services du Premier ministre";"";"0";"";"";"";"";"";"0"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"10";"Soutien";"";"35685467";"43033707";"";"3075314";"1631500";"";"83425988"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"11";"Stratégie et prospective";"";"13363620";"5066623";"";"27136";"6002992";"";"24460371"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"13";"Ordre de la Légion d'honneur";"";"";"22722654";"";"";"2000";"2325000";"25049654"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"14";"Ordre de la Libération";"";"";"1318323";"";"";"";"0";"1318323"
"Direction de l'action du Gouvernement";"129";"Coordination du travail gouvernemental";"15";"Mission interministérielle de lutte contre la drogue et la toxicomanie";"";"2154494";"11711145";"";"2932443";"11544721";"";"28342803"
"Direction de l'action du Gouvernement";"308";"Protection des droits et libertés";"2";"Commission nationale de l'informatique et des libertés";"";"11871569";"4835925";"";"57481";"13466";"";"16778441"
"Direction de l'action du Gouvernement";"308";"Protection des droits et libertés";"3";"Conseil supérieur de l'audiovisuel";"";"20545814";"14346465";"";"181252";"";"";"35073531"
"Direction de l'action du Gouvernement";"308";"Protection des droits et libertés";"5";"Contrôleur général des lieux de privation de liberté";"";"3116642";"846425";"";"0";"";"";"3963067"
"Direction de l'action du Gouvernement";"308";"Protection des droits et libertés";"6";"Autres autorités indépendantes";"";"1871675";"578297";"";"";"";"";"2449972"
"Direction de l'action du Gouvernement";"308";"Protection des droits et libertés";"7";"Sécurité et protection des libertés";"";"562834";"137469";"";"32304";"0";"";"732607"
"Direction de l'action du Gouvernement";"308";"Protection des droits et libertés";"9";"Défenseur des droits";"";"14779876";"11779382";"";"46280";"5500";"";"26611038"
"Direction de l'action du Gouvernement";"308";"Protection des droits et libertés";"10";"Haute autorité pour la transparence de la vie publique";"";"1261762";"363539";"";"";"";"";"1625301"
"Direction de l'action du Gouvernement";"333";"Moyens mutualisés des administrations déconcentrées";"1";"Fonctionnement courant des directions départementales interministérielles";"";"106636";"84682398";"3";"8949592";"45106";"";"93783735"
"Direction de l'action du Gouvernement";"333";"Moyens mutualisés des administrations déconcentrées";"2";"Loyers et charges immobilières des administrations déconcentrées";"";"";"336624859";"";"1799427";"101600";"";"338525886"
"Direction de l'action du Gouvernement";"333";"Moyens mutualisés des administrations déconcentrées";"3";"Emplois déconcentrés des services du Premier ministre";"";"101232859";"93255";"";"";"";"";"101326114"
"Direction de l'action du Gouvernement";"401";"Transition numérique de l'État et modernisation de l'action publique";"1";"Transition numérique de l'Etat et modernisation de l'action publique";"";"";"";"";"0";"";"126000000";"126000000"
"Écologie, développement et mobilité durables";"113";"Paysages, eau et biodiversité";"1";"Sites, paysages, publicité";"";"";"1698232";"";"0";"3654215";"";"5352447"
"Écologie, développement et mobilité durables";"113";"Paysages, eau et biodiversité";"2";"logistique, formation et contentieux";"";"";"2163540";"";"89968";"765480";"";"3018988"
"Écologie, développement et mobilité durables";"113";"Paysages, eau et biodiversité";"7";"Gestion des milieux et biodiversité";"";"";"150918672";"";"474316";"78749051";"2422686";"232564725"
"Écologie, développement et mobilité durables";"113";"Paysages, eau et biodiversité";"8";"Fonds d’investissement pour la biodiversité et la restauration écologique";"";"";"67951";"";"121623";"1404362";"0";"1593936"
"Écologie, développement et mobilité durables";"159";"Information géographique et cartographique";"1";"Production de l'information géographique";"";"";"79477420";"";"";"";"";"79477420"
"Écologie, développement et mobilité durables";"159";"Information géographique et cartographique";"2";"Recherche dans le domaine de l'information géographique";"";"";"14913843";"";"";"";"";"14913843"
"Écologie, développement et mobilité durables";"159";"Information géographique et cartographique";"3";"Pilotage de la politique d'information géographique";"";"";"523652";"";"0";"25000";"";"548652"
"Écologie, développement et mobilité durables";"170";"Météorologie";"1";"Observation et prévision météorologiques";"";"";"177317524";"";"";"";"";"177317524"
"Écologie, développement et mobilité durables";"170";"Météorologie";"2";"Recherche dans le domaine météorologique";"";"";"21915649";"";"";"";"";"21915649"
"Écologie, développement et mobilité durables";"174";"Énergie, climat et après-mines";"1";"Politique de l'énergie";"";"";"5054515";"";"";"564155";"";"5618670"
"Écologie, développement et mobilité durables";"174";"Énergie, climat et après-mines";"4";"Gestion économique et sociale de l'après-mines";"";"";"13976038";"";"";"495701521";"";"509677559"
"Écologie, développement et mobilité durables";"174";"Énergie, climat et après-mines";"5";"Lutte contre le changement climatique";"";"";"5418333";"";"39206";"24665291";"258000";"30380830"
"Écologie, développement et mobilité durables";"174";"Énergie, climat et après-mines";"6";"Soutien";"";"";"797480";"";"99335";"";"";"896815"
"Écologie, développement et mobilité durables";"181";"Prévention des risques";"1";"Prévention des risques technologiques et des pollutions";"";"";"59043259";"";"361730";"22310905";"0";"81715894"
"Écologie, développement et mobilité durables";"181";"Prévention des risques";"9";"Contrôle de la sûreté nucléaire et de la radioprotection";"";"31797766";"17197708";"";"540293";"1015519";"";"50551286"
"Écologie, développement et mobilité durables";"181";"Prévention des risques";"10";"Prévention des risques naturels et hydrauliques";"";"";"25376909";"";"6678394";"23987326";"0";"56042629"
"Écologie, développement et mobilité durables";"181";"Prévention des risques";"11";"Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites";"";"";"32497696";"";"140026";"5453818";"";"38091540"
"Écologie, développement et mobilité durables";"203";"Infrastructures et services de transports";"1";"Développement des infrastructures routières";"";"";"32144160";"";"631431668";"51878470";"";"715454298"
"Écologie, développement et mobilité durables";"203";"Infrastructures et services de transports";"10";"Infrastructures de transports collectifs et ferroviaires";"";"";"5862222";"";"866345";"3199280068";"";"3206008635"
"Écologie, développement et mobilité durables";"203";"Infrastructures et services de transports";"11";"Infrastructures fluviales, portuaires et aéroportuaires";"";"";"260156708";"";"2965704";"103369615";"";"366492027"
"Écologie, développement et mobilité durables";"203";"Infrastructures et services de transports";"12";"Entretien et exploitation du réseau routier national";"";"";"248472305";"0";"355795127";"3115149";"";"607382581"
"Écologie, développement et mobilité durables";"203";"Infrastructures et services de transports";"13";"Soutien, régulation, contrôle et sécurité des services de transports terrestres";"";"";"3248171";"";"6876878";"80641771";"0";"90766820"
"Écologie, développement et mobilité durables";"203";"Infrastructures et services de transports";"14";"Soutien, régulation et contrôle dans les domaines des transports fluviaux, maritimes et aériens";"";"";"67619";"";"";"34000417";"";"34068036"
"Écologie, développement et mobilité durables";"203";"Infrastructures et services de transports";"15";"Stratégie et soutien";"";"";"47241283";"0";"1287247";"3102636";"";"51631166"
"Écologie, développement et mobilité durables";"205";"Sécurité et affaires maritimes, pêche et aquaculture";"1";"Sécurité et sûreté maritimes";"";"";"18826419";"";"2616080";"2454310";"1358";"23898167"
"Écologie, développement et mobilité durables";"205";"Sécurité et affaires maritimes, pêche et aquaculture";"2";"Gens de mer et enseignement maritime";"";"";"18627825";"";"0";"9792278";"";"28420103"
"Écologie, développement et mobilité durables";"205";"Sécurité et affaires maritimes, pêche et aquaculture";"3";"Flotte de commerce";"";"";"687";"";"";"72394531";"";"72395218"
"Écologie, développement et mobilité durables";"205";"Sécurité et affaires maritimes, pêche et aquaculture";"4";"Action interministérielle de la mer";"";"";"7127252";"";"669057";"230500";"";"8026809"
"Écologie, développement et mobilité durables";"205";"Sécurité et affaires maritimes, pêche et aquaculture";"5";"Soutien au programme";"";"";"9089934";"";"331178";"70803";"0";"9491915"
"Écologie, développement et mobilité durables";"205";"Sécurité et affaires maritimes, pêche et aquaculture";"6";"Gestion durable des Pêches et de  l'Aquaculture";"";"";"5449965";"";"0";"37900645";"";"43350610"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"1";"Stratégie, expertise et études en matière de développement durable";"0";"0";"234212615";"";"-304959";"8837139";"";"242744795"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"2";"Fonction juridique";"";"-89";"1579587";"";"";"";"";"1579498"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"3";"Politique et programmation de l'immobilier et des moyens de fonctionnement";"";"-90902";"164127338";"";"5532203";"190758";"";"169759397"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"4";"Politique et gestion des systèmes d'information et des réseaux informatiques";"";"";"19974087";"";"3869719";"";"";"23843806"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"5";"Politique des ressources humaines et formation";"";"124692265";"76881631";"";"145229";"846915";"";"202566040"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"6";"Action européenne et internationale";"";"";"467703";"";"";"7775770";"";"8243473"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"7";"Personnels oeuvrant pour les politiques du programme ""Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables""";"";"655486441";"205";"";"";"";"";"655486646"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"8";"Personnels oeuvrant pour les politiques du programme ""Infrastructures et services de transports""";"";"590948491";"";"";"";"";"";"590948491"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"9";"Personnels oeuvrant pour les politiques du programme ""Sécurité et éducation routières""";"";"38376344";"";"";"";"";"";"38376344"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"11";"Personnels oeuvrant pour les politiques du programme ""Sécurité et affaires maritimes""";"";"190451736";"";"";"";"";"";"190451736"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"13";"Personnels oeuvrant pour les politiques du programme ""Paysages, eau et biodiversité""";"";"206351859";"";"";"";"";"";"206351859"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"14";"Personnels oeuvrant dans le domaine de la recherche et de l'action scientifique et technique";"";"1729954";"";"";"";"";"";"1729954"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"15";"Personnels relevant du ministère de l'égalité des territoires et du logement";"";"637283535";"0";"";"";"";"";"637283535"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"16";"Personnels oeuvrant pour les politiques du programme ""Prévention des risques""";"";"228620013";"";"";"";"";"";"228620013"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"18";"Personnels relevant de programmes d'autres ministères";"";"9858708";"";"";"";"0";"";"9858708"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"22";"Personnels transférés aux collectivités territoriales";"";"180023910";"80";"";"";"";"";"180023990"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"23";"Personnels oeuvrant pour les politiques des programmes ""énergie, climat et après-mines""";"";"56563249";"";"";"";"";"";"56563249"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"24";"Personnels oeuvrant dans le domaine des transports aériens";"";"1889872";"";"";"";"";"";"1889872"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"25";"Commission nationale du débat public";"";"1381884";"953097";"";"";"";"";"2334981"
"Écologie, développement et mobilité durables";"217";"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables";"26";"Autorité de contrôle des nuisances aéroportuaires (ACNUSA)";"";"1077893";"461699";"";"";"564";"";"1540156"
"Écologie, développement et mobilité durables";"403";"Innovation pour la transition écologique et énergétique";"1";"Démonstrateurs de la transition écologique et énergétique";"";"";"150000000";"";"";"650000000";"0";"800000000"
"Écologie, développement et mobilité durables";"403";"Innovation pour la transition écologique et énergétique";"2";"Transports de demain";"";"";"200000000";"";"";"-170000000";"";"30000000"
"Écologie, développement et mobilité durables";"404";"Projets industriels pour la transition écologique et énergétique";"1";"Usine sobre : prêts verts";"";"";"";"";"";"61100000";"";"61100000"
"Écologie, développement et mobilité durables";"404";"Projets industriels pour la transition écologique et énergétique";"2";"Projets industriels d'avenir pour la transition énergétique";"";"";"225000000";"";"";"183900000";"0";"408900000"
"Écologie, développement et mobilité durables";"414";"Ville et territoires durables";"1";"Projets territoriaux intégrés pour la transition énergétique";"";"";"";"";"";"0";"35000000";"35000000"
"Écologie, développement et mobilité durables";"414";"Ville et territoires durables";"2";"Ville durable et solidaire, excellence environnementale du renouvellement urbain";"";"";"250000000";"";"";"-11000000";"";"239000000"
"Économie";"134";"Développement des entreprises et du tourisme";"2";"Commerce, artisanat et services";"";"29198305";"1080441";"";"";"59601476";"";"89880222"
"Économie";"134";"Développement des entreprises et du tourisme";"3";"Actions en faveur des entreprises industrielles";"";"94409526";"17333811";"";"";"832080092";"-629350320";"314473109"
"Économie";"134";"Développement des entreprises et du tourisme";"4";"Développement des télécommunications, des postes et de la société de l'information";"";"";"31875808";"";"";"110298012";"";"142173820"
"Économie";"134";"Développement des entreprises et du tourisme";"5";"Fonds de soutien aux collectivités territoriales ayant contracté des produits structurés";"";"";"103";"";"";"0";"";"103"
"Économie";"134";"Développement des entreprises et du tourisme";"7";"Développement international des entreprises";"";"";"91541059";"";"";"1392000";"";"92933059"
"Économie";"134";"Développement des entreprises et du tourisme";"8";"Expertise, conseil et inspection";"";"17379645";"52959";"";"";"";"";"17432604"
"Économie";"134";"Développement des entreprises et du tourisme";"13";"Régulation des communications électroniques et des postes (ARCEP)";"";"15511654";"6288294";"";"35400";"";"";"21835348"
"Économie";"134";"Développement des entreprises et du tourisme";"14";"Régulation et contrôle des marchés de l'énergie (CRE)";"";"11847175";"4994122";"";"";"44642";"";"16885939"
"Économie";"134";"Développement des entreprises et du tourisme";"15";"Mise en oeuvre du droit de la concurrence (Autorité de la concurrence)";"";"15091460";"3964630";"";"371556";"";"";"19427646"
"Économie";"134";"Développement des entreprises et du tourisme";"16";"Régulation concurrentielle des marchés";"";"72564296";"2221489";"";"";"0";"";"74785785"
"Économie";"134";"Développement des entreprises et du tourisme";"17";"Protection économique du consommateur";"";"100518745";"2878724";"";"75812";"9944630";"";"113417911"
"Économie";"134";"Développement des entreprises et du tourisme";"18";"Sécurité du consommateur";"";"40625277";"1152569";"";"";"795";"";"41778641"
"Économie";"134";"Développement des entreprises et du tourisme";"19";"Moyens de la politique de l'emploi et de la formation professionnelle";"";"";"";"";"";"0";"";"0"
"Économie";"134";"Développement des entreprises et du tourisme";"20";"Financement des entreprises et attractivité du territoire";"";"";"12556856";"";"";"40327480";"";"52884336"
"Économie";"134";"Développement des entreprises et du tourisme";"21";"Développement du tourisme";"";"0";"30998651";"";"";"3009880";"";"34008531"
"Économie";"220";"Statistiques et études économiques";"1";"Infrastructure statistique";"";"104534604";"10826029";"";"247221";"24184438";"";"139792292"
"Économie";"220";"Statistiques et études économiques";"2";"Information sur les entreprises et synthèses économiques";"";"51057725";"2421905";"";"151152";"";"";"53630782"
"Économie";"220";"Statistiques et études économiques";"3";"Information démographique et sociale";"";"58888451";"6757562";"";"64280";"";"";"65710293"
"Économie";"220";"Statistiques et études économiques";"5";"Soutien";"";"105746655";"36517002";"";"3661061";"1500";"";"145926218"
"Économie";"220";"Statistiques et études économiques";"6";"Action régionale";"";"53803635";"429379";"";"";"";"";"54233014"
"Économie";"305";"Stratégie économique et fiscale";"1";"Définition et mise en oeuvre de la politique économique et financière de la France dans le cadre national, international et européen";"";"59516235";"309005196";"";"";"1200218";"";"369721649"
"Économie";"305";"Stratégie économique et fiscale";"2";"Développement international de l'économie française";"";"71979334";"13176983";"0";"464997";"";"3267";"85624581"
"Économie";"305";"Stratégie économique et fiscale";"3";"Elaboration de la législation fiscale";"";"14670714";"";"";"";"";"";"14670714"
"Économie";"405";"Projets industriels";"1";"Projets industriels d'avenir";"";"";"200000000";"";"";"80000000";"50000000";"330000000"
"Économie";"405";"Projets industriels";"2";"Prêts pour l'industrialisation";"";"";"";"";"";"30000000";"";"30000000"
"Économie";"405";"Projets industriels";"3";"Usine du futur : robotisation";"";"";"";"";"";"25714000";"34286000";"60000000"
"Économie";"406";"Innovation";"1";"Innovation de rupture";"";"";"150000000";"";"";"";"";"150000000"
"Économie";"406";"Innovation";"2";"Fonds national d'innovation";"";"";"99000000";"";"";"46000000";"35000000";"180000000"
"Économie";"406";"Innovation";"3";"Projets structurants des pôles de compétitivité";"";"";"";"";"";"411908000";"110092000";"522000000"
"Économie";"407";"Économie numérique";"1";"Quartiers numériques";"";"";"200000000";"";"";"15000000";"";"215000000"
"Économie";"407";"Économie numérique";"2";"Usages et technologies du numérique";"";"";"175000000";"";"";"100000000";"75000000";"350000000"
"Égalité des territoires, logement et ville";"109";"Aide à l'accès au logement";"1";"Aides personnelles";"";"";"";"";"";"5176723940";"";"5176723940"
"Égalité des territoires, logement et ville";"109";"Aide à l'accès au logement";"2";"Information relative au logement et accompagnement des publics en difficulté";"";"";"";"";"";"7545505";"";"7545505"
"Égalité des territoires, logement et ville";"109";"Aide à l'accès au logement";"3";"Garantie des risques locatifs";"";"";"";"";"";"8348026";"";"8348026"
"Égalité des territoires, logement et ville";"135";"Urbanisme, territoires et amélioration de l'habitat";"1";"Construction locative et amélioration du parc";"";"";"4090985";"";"";"409019202";"";"413110187"
"Égalité des territoires, logement et ville";"135";"Urbanisme, territoires et amélioration de l'habitat";"2";"Soutien à l'accession à la propriété";"";"";"4076000";"";"";"0";"";"4076000"
"Égalité des territoires, logement et ville";"135";"Urbanisme, territoires et amélioration de l'habitat";"3";"Lutte contre l'habitat indigne";"";"";"2095594";"";"-2100";"3031582";"";"5125076"
"Égalité des territoires, logement et ville";"135";"Urbanisme, territoires et amélioration de l'habitat";"4";"Réglementation, politique technique et qualité de la construction";"";"";"23338672";"";"0";"3812415";"";"27151087"
"Égalité des territoires, logement et ville";"135";"Urbanisme, territoires et amélioration de l'habitat";"5";"Soutien";"";"";"12853547";"";"590752";"4063295";"";"17507594"
"Égalité des territoires, logement et ville";"135";"Urbanisme, territoires et amélioration de l'habitat";"7";"Urbanisme et aménagement";"";"";"5319891";"";"31124";"41703970";"0";"47054985"
"Égalité des territoires, logement et ville";"147";"Politique de la ville";"1";"Actions territorialisées et Dispositifs spécifiques de la politique de la ville";"";"";"0";"";"";"300608142";"";"300608142"
"Égalité des territoires, logement et ville";"147";"Politique de la ville";"2";"Revitalisation économique et emploi";"";"";"21285808";"";"";"92412893";"";"113698701"
"Égalité des territoires, logement et ville";"147";"Politique de la ville";"3";"Stratégie, ressources et évaluation";"";"1343623";"12834042";"";"";"7803935";"";"21981600"
"Égalité des territoires, logement et ville";"147";"Politique de la ville";"4";"Rénovation urbaine et amélioration du cadre de vie";"";"";"";"";"";"2769337";"";"2769337"
"Égalité des territoires, logement et ville";"177";"Prévention de l'exclusion et insertion des personnes vulnérables";"11";"Prévention de l'exclusion";"";"";"56750";"";"";"65252805";"";"65309555"
"Égalité des territoires, logement et ville";"177";"Prévention de l'exclusion et insertion des personnes vulnérables";"12";"Hébergement et logement adapté";"";"";"375381";"";"";"1385822405";"";"1386197786"
"Égalité des territoires, logement et ville";"177";"Prévention de l'exclusion et insertion des personnes vulnérables";"14";"Conduite et animation des politiques de l'hébergement et de l'inclusion sociale";"";"";"1186060";"";"";"16548667";"";"17734727"
"Égalité des territoires, logement et ville";"177";"Prévention de l'exclusion et insertion des personnes vulnérables";"15";"Rapatriés";"";"";"0";"";"";"0";"";"0"
"Égalité des territoires, logement et ville";"337";"Conduite et pilotage des politiques de l’égalité des territoires, du logement et de la ville";"1";"Personnels oeuvrant pour les politiques de l'urbanisme, de l'aménagement, du logement et de l'habitat";"";"0";"";"";"";"";"";"0"
"Égalité des territoires, logement et ville";"337";"Conduite et pilotage des politiques de l’égalité des territoires, du logement et de la ville";"2";"Personnels oeuvrant au soutien du programme Conduite et pilotage de l'égalité des territoires, du logement et de la ville";"";"0";"";"";"";"0";"";"0"
"Engagements financiers de l'État";"114";"Appels en garantie de l'État (crédits évaluatifs)";"1";"Agriculture et environnement";"";"";"";"";"";"0";"";"0"
"Engagements financiers de l'État";"114";"Appels en garantie de l'État (crédits évaluatifs)";"2";"Soutien au domaine social, logement, santé";"";"";"";"";"";"9140000";"";"9140000"
"Engagements financiers de l'État";"114";"Appels en garantie de l'État (crédits évaluatifs)";"3";"Financement des entreprises et industrie";"";"";"";"";"";"1652257";"";"1652257"
"Engagements financiers de l'État";"114";"Appels en garantie de l'État (crédits évaluatifs)";"4";"Développement international de l'économie française";"";"";"";"";"";"109600000";"";"109600000"
"Engagements financiers de l'État";"114";"Appels en garantie de l'État (crédits évaluatifs)";"5";"Autres garanties";"";"";"";"";"";"0";"";"0"
"Engagements financiers de l'État";"117";"Charge de la dette et trésorerie de l'État (crédits évaluatifs)";"1";"Dette";"";"";"";"43158881832";"";"";"";"43158881832"
"Engagements financiers de l'État";"117";"Charge de la dette et trésorerie de l'État (crédits évaluatifs)";"3";"Trésorerie";"";"";"";"0";"";"";"";"0"
"Engagements financiers de l'État";"145";"Épargne";"1";"Épargne logement";"";"";"709881";"";"";"382046456";"";"382756337"
"Engagements financiers de l'État";"145";"Épargne";"2";"Instruments de financement du logement";"";"";"1114755";"";"";"1532118";"";"2646873"
"Engagements financiers de l'État";"168";"Majoration de rentes";"1";"Participation de l'État aux majorations de rentes viagères";"";"";"";"";"";"169005577";"";"169005577"
"Engagements financiers de l'État";"336";"Dotation en capital du Mécanisme européen de stabilité";"1";"Dotation en capital du Mécanisme européen de stabilité";"";"";"3261744000";"";"";"";"0";"3261744000"
"Engagements financiers de l'État";"338";"Augmentation de capital de la Banque européenne d'investissement";"1";"Augmentation de capital de la Banque européenne d'investissement";"";"";"0";"";"";"";"0";"0"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"1";"Enseignement pré-élémentaire";"";"397479372";"";"";"";"0";"";"397479372"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"2";"Enseignement élémentaire";"";"1142144859";"11786";"";"";"0";"";"1142156645"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"3";"Enseignement en collège";"";"1905616090";"";"";"";"0";"";"1905616090"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"4";"Enseignement général et technologique en lycée";"";"1420507197";"";"";"";"0";"";"1420507197"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"5";"Enseignement professionnel sous statut scolaire";"";"650908679";"";"";"";"";"";"650908679"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"6";"Enseignement post-baccalauréat en lycée";"";"148602754";"";"";"";"";"";"148602754"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"7";"Dispositifs spécifiques de scolarisation";"";"149878303";"";"";"";"";"";"149878303"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"8";"Actions sociales en faveur des élèves";"";"";"";"";"";"63849531";"";"63849531"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"9";"Fonctionnement des établissements";"";"";"527853";"";"";"634533831";"";"635061684"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"10";"Formation initiale et continue des enseignants";"";"136039484";"42";"";"";"35568128";"";"171607654"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"11";"Remplacement";"";"162692956";"";"";"";"";"";"162692956"
"Enseignement scolaire";"139";"Enseignement privé du premier et du second degrés";"12";"Soutien";"";"260311670";"4047344";"";"";"953";"";"264359967"
"Enseignement scolaire";"140";"Enseignement scolaire public du premier degré";"1";"Enseignement pré-élémentaire";"";"5022493162";"486208";"";"";"191457";"";"5023170827"
"Enseignement scolaire";"140";"Enseignement scolaire public du premier degré";"2";"Enseignement élémentaire";"";"9760745183";"5504332";"";"16782";"14622973";"";"9780889270"
"Enseignement scolaire";"140";"Enseignement scolaire public du premier degré";"3";"Besoins éducatifs particuliers";"";"1413751781";"3398553";"";"";"44248";"";"1417194582"
"Enseignement scolaire";"140";"Enseignement scolaire public du premier degré";"4";"Formation des personnels enseignants";"";"577638101";"9366539";"";"";"311171";"";"587315811"
"Enseignement scolaire";"140";"Enseignement scolaire public du premier degré";"5";"Remplacement";"";"1404143569";"1784";"";"";"";"";"1404145353"
"Enseignement scolaire";"140";"Enseignement scolaire public du premier degré";"6";"Pilotage et encadrement pédagogique";"";"1103677117";"6611310";"";"";"0";"";"1110288427"
"Enseignement scolaire";"140";"Enseignement scolaire public du premier degré";"7";"Personnels en situations diverses";"";"59974582";"235";"";"";"";"";"59974817"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"1";"Enseignement en collège";"";"10869489360";"8877485";"";"0";"29626122";"";"10907992967"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"2";"Enseignement général et technologique en lycée";"";"8060612586";"5246590";"";"83342";"12844884";"";"8078787402"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"3";"Enseignement professionnel sous statut scolaire";"";"3678153700";"1869655";"";"0";"9394660";"";"3689418015"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"4";"Apprentissage";"";"5616416";"39131";"";"";"813470";"";"6469017"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"5";"Enseignement post-baccalauréat en lycée";"";"1105402246";"99569";"";"";"1609144";"";"1107110959"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"6";"Besoins éducatifs particuliers";"";"829037751";"315031";"";"";"2594168";"";"831946950"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"7";"Aide à l'insertion professionnelle";"";"38829153";"145720";"";"";"4062269";"";"43037142"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"8";"Information et orientation";"";"272415831";"1282388";"";"";"20000";"";"273718219"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"9";"Formation continue des adultes et validation des acquis de l'expérience";"";"78440048";"119249";"";"";"1951473";"";"80510770"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"10";"Formation des personnels enseignants et d'orientation";"";"634078223";"16182193";"";"0";"122167";"";"650382583"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"11";"Remplacement";"";"1261885364";"7549";"";"";"";"";"1261892913"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"12";"Pilotage, administration et encadrement pédagogique";"";"3450923120";"6297703";"";"-1100";"35320";"";"3457255043"
"Enseignement scolaire";"141";"Enseignement scolaire public du second degré";"13";"Personnels en situations diverses";"";"122241825";"85";"";"";"";"";"122241910"
"Enseignement scolaire";"143";"Enseignement technique agricole";"1";"Mise en oeuvre de l'enseignement dans les établissements publics";"";"652772828";"356937";"";"";"39009804";"684962";"692824531"
