"Ministère";"Libellé.ministère";"Programme";"Libellé.programme";"Action";"Libellé.action";"T1";"T2";"T3";"T4";"T5";"T6";"T7";"Total.général"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"5";"Coopération multilatérale";"";"";"0";"";"";"332239450";"";"332239450"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"7";"Coopération communautaire";"";"";"0";"";"";"598076601";"";"598076601"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"8";"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";"";"200601820";"";"";"";"";"";"200601820"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"9";"Actions de co-développement";"";"145843";"";"";"19950";"1282202";"";"1447995"
"1";"Affaires étrangères et développement international";"341";"Conférence 'Paris Climat 2015'";"1";"Préparation et suivi de la COP21";"";"";"4743547";"";"";"517000";"";"5260547"
"1";"Affaires étrangères et développement international";"341";"Conférence 'Paris Climat 2015'";"2";"Organisation de la COP21";"";"";"16595034";"";"";"0";"";"16595034"
"1";"Affaires étrangères et développement international";"341";"Conférence 'Paris Climat 2015'";"3";"Accueil des délégations étrangères";"";"";"19683";"";"";"6027914";"";"6047597"
"2";"Culture et communication";"131";"Création";"1";"Soutien à la création, à la production et à la diffusion du spectacle vivant";"";"";"261809705";"";"4076702";"386519285";"22706030";"675111722"
"2";"Culture et communication";"131";"Création";"2";"Soutien à la création, à la production et à la diffusion des arts plastiques";"";"";"15033836";"";"1038133";"46728187";"2932128";"65732284"
"2";"Culture et communication";"175";"Patrimoines";"1";"Patrimoine monumental";"";"";"38213764";"";"86042949";"124772923";"61672217";"310701853"
"2";"Culture et communication";"175";"Patrimoines";"2";"Architecture";"";"";"17839633";"";"735537";"8574466";"847924";"27997560"
"2";"Culture et communication";"175";"Patrimoines";"3";"Patrimoine des musées de France";"";"";"267252261";"";"11060253";"23957782";"25410428";"327680724"
"2";"Culture et communication";"175";"Patrimoines";"4";"Patrimoine archivistique et célébrations nationales";"";"";"12547509";"";"6122706";"5263463";"";"23933678"
"2";"Culture et communication";"175";"Patrimoines";"7";"Patrimoine linguistique";"";"";"0";"";"";"3029755";"";"3029755"
"2";"Culture et communication";"175";"Patrimoines";"8";"Acquisition et enrichissement des collections publiques";"";"";"47818";"";"2119754";"2200280";"3548483";"7916335"
"2";"Culture et communication";"175";"Patrimoines";"9";"Patrimoine archéologique";"";"";"50462412";"";"3654645";"13547546";"";"67664603"
"2";"Culture et communication";"180";"Presse";"1";"Relations financières avec l'AFP";"";"";"21655380";"";"";"105020859";"";"126676239"
"2";"Culture et communication";"180";"Presse";"2";"Aides à la presse";"";"";"126896";"";"";"122479307";"43423";"122649626"
"2";"Culture et communication";"186";"Recherche culturelle et culture scientifique";"1";"Recherche culturelle";"";"";"5276880";"";"571577";"3733181";"0";"9581638"
"2";"Culture et communication";"186";"Recherche culturelle et culture scientifique";"3";"Culture scientifique et technique";"";"";"93826684";"";"";"19500";"8935489";"102781673"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"1";"Soutien aux établissements d'enseignement supérieur et insertion professionnelle";"";"";"132523321";"";"20099885";"84889601";"10864507";"248377314"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"2";"Soutien à la démocratisation et à l'éducation artistique et culturelle";"";"";"6049186";"";"21700";"82802260";"0";"88873146"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"3";"Soutien aux établissements d'enseignement spécialisé";"";"";"";"";"";"0";"";"0"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"6";"Action culturelle internationale";"";"";"946259";"";"";"5842972";"";"6789231"
"2";"Culture et communication";"224";"Transmission des savoirs et démocratisation de la culture";"7";"Fonctions de soutien du ministère";"";"661676105";"80009465";"";"5675554";"111591";"";"747472715"
"2";"Culture et communication";"313";"Contribution à l'audiovisuel et à la diversité radiophonique";"1";"France Télévisions";"";"";"";"";"";"160416710";"";"160416710"
"2";"Culture et communication";"313";"Contribution à l'audiovisuel et à la diversité radiophonique";"3";"Soutien à l'expression radiophonique locale";"";"";"0";"";"";"0";"";"0"
"2";"Culture et communication";"313";"Contribution à l'audiovisuel et à la diversité radiophonique";"10";"Soutien à l'expression radiophonique locale";"";"";"8721";"";"";"29113513";"";"29122234"
"2";"Culture et communication";"334";"Livre et industries culturelles";"1";"Livre et lecture";"";"";"185461851";"";"13246571";"27963941";"22380298";"249052661"
"2";"Culture et communication";"334";"Livre et industries culturelles";"2";"Industries culturelles";"";"";"85505";"";"";"9473396";"";"9558901"
"3";"Agriculture, agroalimentaire et forêt";"142";"Enseignement supérieur et recherche agricoles";"1";"Enseignement supérieur";"";"196928673";"34663186";"";"";"39491500";"14843329";"285926688"
"3";"Agriculture, agroalimentaire et forêt";"142";"Enseignement supérieur et recherche agricoles";"2";"Recherche, développement et transfert de technologie";"";"1832748";"28143281";"";"";"4774236";"";"34750265"
"3";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"1";"Mise en oeuvre de l'enseignement dans les établissements publics";"";"662467696";"2000334";"";"";"35842860";"326879";"700637769"
"3";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"2";"Mise en oeuvre des enseignements dans les établissements privés";"";"200945782";"662211";"";"";"363419113";"";"565027106"
"3";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"3";"Aide sociale aux élèves (enseignement public et privé)";"";"";"467858";"";"";"82043945";"";"82511803"
"3";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"4";"Évolution des compétences et dynamique territoriale";"";"";"1352504";"";"";"2780607";"";"4133111"
"3";"Agriculture, agroalimentaire et forêt";"143";"Enseignement technique agricole";"5";"Moyens communs à l'enseignement technique agricole, public et privé";"";"-56432";"5350837";"";"";"99463";"216";"5394084"
"3";"Agriculture, agroalimentaire et forêt";"149";"Forêt";"11";"Gestion des forêts publiques et protection de la forêt";"";"";"199493559";"";"3290304";"7505564";"";"210289427"
"3";"Agriculture, agroalimentaire et forêt";"149";"Forêt";"12";"Développement économique de la filière et gestion durable";"";"";"632214";"";"578640";"38632704";"";"39843558"
"3";"Agriculture, agroalimentaire et forêt";"149";"Forêt";"13";"Fonds stratégique de la forêt et du bois";"";"";"217028";"";"";"2260525";"";"2477553"
"3";"Agriculture, agroalimentaire et forêt";"154";"Économie et développement durable de l'agriculture et des territoires";"11";"Adaptation des filières à l'évolution des marchés";"";"";"30672910";"";"";"284430366";"";"315103276"
"3";"Agriculture, agroalimentaire et forêt";"154";"Économie et développement durable de l'agriculture et des territoires";"12";"Gestion des crises et des aléas de la production";"";"";"11244";"";"";"54908750";"26874419";"81794413"
"3";"Agriculture, agroalimentaire et forêt";"154";"Économie et développement durable de l'agriculture et des territoires";"13";"Appui au renouvellement et à la modernisation des exploitations agricoles";"";"";"303692";"";"";"213924003";"5000";"214232695"
"3";"Agriculture, agroalimentaire et forêt";"154";"Économie et développement durable de l'agriculture et des territoires";"14";"Gestion équilibrée et durable des territoires";"";"";"8035583";"";"18600";"810283803";"";"818337986"
"3";"Agriculture, agroalimentaire et forêt";"154";"Économie et développement durable de l'agriculture et des territoires";"15";"Moyens de mise en oeuvre des politiques publiques et gestion des interventions";"";"";"1074731115";"";"";"10000";"12495242";"1087236357"
"3";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"1";"Prévention et gestion des risques inhérents à la production végétale";"";"";"5123858";"";"217179";"13765038";"";"19106075"
"3";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"2";"Lutte contre les maladies animales et protection des animaux";"";"";"81761767";"";"200495";"23477766";"";"105440028"
"3";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"3";"Prévention et gestion des risques sanitaires liés aux denrées alimentaires";"";"";"9268044";"";"29843";"8589436";"";"17887323"
"3";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"4";"Actions transversales";"";"";"63938628";"";"55034";"2050846";"0";"66044508"
"3";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"5";"Elimination des cadavres et des sous-produits animaux";"";"";"1570000";"";"";"0";"";"1570000"
"3";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"6";"Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation";"";"291201268";"833858";"";"";"19552";"";"292054678"
"3";"Agriculture, agroalimentaire et forêt";"206";"Sécurité et qualité sanitaires de l'alimentation";"8";"Qualité de l'alimentation et offre alimentaire";"";"";"803867";"";"";"3261226";"";"4065093"
"3";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"1";"Moyens de l'administration centrale";"";"167458414";"36021618";"";"103655";"1537049";"";"205120736"
"3";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"2";"Évaluation de l'impact des politiques publiques et information économique";"";"12427157";"4052231";"";"0";"935647";"";"17415035"
"3";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"3";"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer)";"";"401745153";"22253211";"";"1134970";"70596";"";"425203930"
"3";"Agriculture, agroalimentaire et forêt";"215";"Conduite et pilotage des politiques de l'agriculture";"4";"Moyens communs";"";"46726310";"22438219";"";"2962363";"534000";"";"72660892"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"1";"Enseignement pré-élémentaire";"";"400053679";"-276";"";"";"0";"";"400053403"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"2";"Enseignement élémentaire";"";"1175766010";"-528";"";"";"-417";"";"1175765065"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"3";"Enseignement en collège";"";"1943652476";"-377";"";"";"0";"";"1943652099"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"4";"Enseignement général et technologique en lycée";"";"1447625040";"";"";"";"";"";"1447625040"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"5";"Enseignement professionnel sous statut scolaire";"";"660385391";"";"";"";"";"";"660385391"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"6";"Enseignement post-baccalauréat en lycée";"";"151898936";"";"";"";"";"";"151898936"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"7";"Dispositifs spécifiques de scolarisation";"";"153026563";"-84";"";"";"0";"";"153026479"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"8";"Actions sociales en faveur des élèves";"";"500";"3450";"";"";"65824739";"";"65828689"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"9";"Fonctionnement des établissements";"";"";"587450";"";"";"642876789";"";"643464239"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"10";"Formation initiale et continue des enseignants";"";"88313716";"1543";"";"";"35509398";"";"123824657"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"11";"Remplacement";"";"157689494";"";"";"";"";"";"157689494"
"6";"Éducation nationale, enseignement supérieur et recherche";"139";"Enseignement privé du premier et du second degrés";"12";"Soutien";"";"239682262";"3129280";"";"";"1118";"";"242812660"
"6";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"1";"Enseignement pré-élémentaire";"";"5122659354";"479624";"";"";"89796";"";"5123228774"
"6";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"2";"Enseignement élémentaire";"";"10015326593";"7316780";"";"0";"11601692";"";"10034245065"
"6";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"3";"Besoins éducatifs particuliers";"";"1441479458";"3164384";"";"";"77088";"";"1444720930"
"6";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"4";"Formation des personnels enseignants";"";"585468584";"10114529";"";"22800";"578763";"";"596184676"
"6";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"5";"Remplacement";"";"1487108030";"1818";"";"";"";"";"1487109848"
"6";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"6";"Pilotage et encadrement pédagogique";"";"1107774196";"6415637";"";"";"0";"";"1114189833"
"6";"Éducation nationale, enseignement supérieur et recherche";"140";"Enseignement scolaire public du premier degré";"7";"Personnels en situations diverses";"";"75225618";"0";"";"";"";"";"75225618"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"1";"Enseignement en collège";"";"11050604371";"9347143";"";"";"34576623";"";"11094528137"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"2";"Enseignement général et technologique en lycée";"";"8281668217";"5515922";"";"378067";"13589288";"";"8301151494"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"3";"Enseignement professionnel sous statut scolaire";"";"3762638810";"1938655";"";"";"9763102";"";"3774340567"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"4";"Apprentissage";"";"5350108";"40686";"";"";"437470";"";"5828264"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"5";"Enseignement post-baccalauréat en lycée";"";"1117227381";"115199";"";"";"1330133";"";"1118672713"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"6";"Besoins éducatifs particuliers";"";"847120716";"296001";"";"";"2667117";"";"850083834"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"7";"Aide à l'insertion professionnelle";"";"40063268";"332737";"";"";"4005326";"";"44401331"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"8";"Information et orientation";"";"271343743";"1335126";"";"";"25740";"";"272704609"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"9";"Formation continue des adultes et validation des acquis de l'expérience";"";"78348940";"394516";"";"";"2000965";"";"80744421"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"10";"Formation des personnels enseignants et d'orientation";"";"482614266";"15916021";"";"";"876627";"";"499406914"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"11";"Remplacement";"";"1217302026";"7542";"";"";"";"";"1217309568"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"12";"Pilotage, administration et encadrement pédagogique";"";"3489161682";"6262247";"";"0";"11900";"";"3495435829"
"6";"Éducation nationale, enseignement supérieur et recherche";"141";"Enseignement scolaire public du second degré";"13";"Personnels en situations diverses";"";"158273332";"775";"";"";"";"";"158274107"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"1";"Formation initiale et continue du baccalauréat à la licence";"";"45796264";"2830265150";"";"";"50000";"";"2876111414"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"2";"Formation initiale et continue de niveau master";"";"96053192";"2241756276";"";"";"845001";"";"2338654469"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"3";"Formation initiale et continue de niveau doctorat";"";"9469042";"343925024";"";"";"5397664";"";"358791730"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"4";"Établissements d'enseignement privés";"";"";"";"";"";"73398140";"";"73398140"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"5";"Bibliothèques et documentation";"";"38051519";"405241657";"";"";"2119129";"";"445412305"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"6";"Recherche universitaire en sciences de la vie, biotechnologies et santé";"";"0";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"7";"Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies";"";"0";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"8";"Recherche universitaire en physique, chimie et sciences pour l'ingénieur";"";"0";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"9";"Recherche universitaire en physique nucléaire et des hautes énergies";"";"0";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"10";"Recherche universitaire en sciences de la terre, de l'univers et de l'environnement";"";"0";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"11";"Recherche universitaire en sciences de l'homme et de la société";"";"0";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"12";"Recherche universitaire interdisciplinaire et transversale";"";"0";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"13";"Diffusion des savoirs et musées";"";"27579352";"90190764";"";"";"481281";"";"118251397"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"14";"Immobilier";"";"32024193";"920282211";"";"87455602";"1627450";"187169230";"1228558686"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"15";"Pilotage et support du programme";"";"138570766";"1382104328";"";"164242";"21632772";"";"1542472108"
"6";"Éducation nationale, enseignement supérieur et recherche";"150";"Formations supérieures et recherche universitaire";"17";"Recherche";"";"103869566";"3657658088";"";"";"566796";"";"3762094450"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"1";"Pilotage et animation";"";"";"33602013";"";"";"89661421";"13525997";"136789431"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"2";"Agence nationale de la recherche";"";"";"28744521";"";"";"464231675";"";"492976196"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"5";"Recherches scientifiques et technologiques en sciences de la vie, biotechnologies et santé";"";"";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"6";"Recherches scientifiques et technologiques en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies";"";"";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"7";"Recherches scientifiques et technologiques en physique, chimie et sciences pour l'ingénieur";"";"";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"8";"Recherches scientifiques et technologiques en physique nucléaire et des hautes énergies";"";"";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"9";"Recherches scientifiques et technologiques en sciences de la terre, de l'univers et de l'environnement";"";"";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"10";"Recherches scientifiques en sciences de l'homme et de la société";"";"";"0";"";"";"0";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"11";"Recherches interdisciplinaires et transversales";"";"";"54658839";"";"";"0";"";"54658839"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"12";"Diffusion, valorisation et transfert des connaissances et des technologies";"";"";"146884263";"";"";"0";"";"146884263"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"13";"Grandes infrastructures de recherche";"";"";"221362457";"";"";"76417000";"";"297779457"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"14";"Moyens généraux et d'appui à la recherche";"";"";"685870597";"";"";"0";"1571144";"687441741"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"15";"Recherches scientifiques et technologiques en sciences de la vie et de la santé";"";"";"1131264888";"";"";"102918829";"";"1234183717"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"16";"Recherches scientifiques et technologiques en sciences et techniques de l'information";"";"";"1006498657";"";"";"590640";"";"1007089297"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"17";"Recherches scientifiques et technologiques dans le domaine de l'énergie";"";"";"371755290";"";"";"279169537";"";"650924827"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"18";"Recherches scientifiques et technologiques dans le domaine de l'environnement";"";"";"1068825340";"";"";"37460262";"";"1106285602"
"6";"Éducation nationale, enseignement supérieur et recherche";"172";"Recherches scientifiques et technologiques pluridisciplinaires";"19";"Recherches scientifiques et technologiques en sciences humaines et sciences sociales";"";"";"406669227";"";"";"1154485";"";"407823712"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"1";"Recherches scientifiques et technologiques sur les ressources, les milieux et leur biodiversité";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"2";"Recherches scientifiques et technologiques sur les systèmes de production et de transformation associés";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"3";"Recherches scientifiques et technologiques sur les systèmes socio-économiques associés";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"4";"Recherches scientifiques et technologiques sur l'alimentation, ses produits et leurs effets sur le bien-être";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"5";"Recherches scientifiques et technologiques pour la sécurité alimentaire, sanitaire, environnementale et sur les risques naturels";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"6";"Diffusion, valorisation et transfert des connaissances et des technologies";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"7";"Grandes infrastructures de recherche";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"187";"Recherche dans le domaine de la gestion des milieux et des ressources (supprimé en 2015)";"8";"Moyens généraux et d'appui à la recherche";"";"";"0";"";"";"";"";"0"
"6";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"1";"Développement de la technologie spatiale au service de la science";"";"";"71888088";"";"";"112569855";"";"184457943"
"6";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"2";"Développement de la technologie spatiale au service de l'observation de la terre";"";"";"166780365";"";"";"113403707";"";"280184072"
"6";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"3";"Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication";"";"";"29330340";"";"";"90055885";"";"119386225"
"6";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"4";"Maîtrise de l'accès à l'espace";"";"";"134574501";"";"";"325829897";"";"460404398"
"6";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"5";"Maîtrise des technologies orbitales et de l'innovation technologique";"";"";"115020941";"";"";"108400602";"";"223421543"
