"Ministère";"Libellé.ministère";"Programme";"Libellé.programme";"Action";"Libellé.action";"T1";"T2";"T3";"T4";"T5";"T6";"T7";"Total.général"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"1";"Coordination de l'action diplomatique";"";"61507570";"17124546";"";"";"3490452";"";"82122568"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"2";"Action européenne";"";"6141213";"112589";"";"";"39839233";"";"46093035"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"4";"Contributions internationales";"";"";"";"";"";"800065308";"";"800065308"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"5";"Coopération de sécurité et de défense";"";"64471500";"5711565";"";"";"16572555";"";"86755620"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"6";"Soutien";"";"112254695";"114299418";"";"6121417";"17015";"";"232692545"
"1";"Affaires étrangères et développement international";"105";"Action de la France en Europe et dans le monde";"7";"Réseau diplomatique";"";"368594259";"204210208";"";"26166722";"71548";"175373";"599218110"
"1";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"1";"Offre d'un service public de qualité aux Français à l'étranger";"";"175597629";"10438746";"";"";"16528610";"";"202564985"
"1";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"2";"Accès des élèves français au réseau AEFE";"";"";"0";"";"";"89460000";"";"89460000"
"1";"Affaires étrangères et développement international";"151";"Français à l'étranger et affaires consulaires";"3";"Instruction des demandes de visa";"";"51948864";"224062";"";"34173";"0";"";"52207099"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"1";"Animation du réseau";"";"";"44371857";"";"0";"704099";"";"45075956"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"2";"Coopération culturelle et promotion du français";"";"";"32585267";"";"";"43442540";"";"76027807"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"3";"Enjeux globaux";"";"";"428092";"";"";"8086285";"";"8514377"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"4";"Attractivité et recherche";"";"";"9407729";"";"";"78912616";"28";"88320373"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"5";"Agence pour l'enseignement français à l'étranger";"";"";"402080997";"";"";"598892";"";"402679889"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"6";"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";"";"76513658";"";"";"";"0";"";"76513658"
"1";"Affaires étrangères et développement international";"185";"Diplomatie culturelle et d'influence";"7";"Développement international – Tourisme";"";"";"33231570";"";"";"";"";"33231570"
"1";"Affaires étrangères et développement international";"209";"Solidarité à l'égard des pays en développement";"2";"Coopération bilatérale";"";"68172";"38935593";"";"";"494805777";"";"533809542"
