"Ministère";"Libellé.ministère";"Programme";"Libellé.programme";"Action";"Libellé.action";"T1";"T2";"T3";"T4";"T5";"T6";"T7";"Total.général"
"70";"Défense";"212";"Soutien de la politique de la défense";"54";"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";"";"1214673607";"701";"";"";"";"";"1214674308"
"70";"Défense";"212";"Soutien de la politique de la défense";"55";"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";"";"6273311834";"";"";"";"";"";"6273311834"
"70";"Défense";"212";"Soutien de la politique de la défense";"56";"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";"";"2354570635";"";"";"";"";"";"2354570635"
"70";"Défense";"212";"Soutien de la politique de la défense";"57";"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";"";"2393490210";"136";"";"";"";"";"2393490346"
"70";"Défense";"212";"Soutien de la politique de la défense";"58";"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";"";"2805812640";"-3585";"";"";"";"";"2805809055"
"70";"Défense";"212";"Soutien de la politique de la défense";"59";"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";"";"396019719";"";"";"";"";"";"396019719"
"70";"Défense";"212";"Soutien de la politique de la défense";"60";"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""";"";"435110355";"";"";"";"";"";"435110355"
"70";"Défense";"212";"Soutien de la politique de la défense";"61";"Politiques des ressources humaines - Personnel travaillant pour l'action ""Politiques des ressources""";"";"304847468";"14889";"";"";"";"";"304862357"
"70";"Défense";"212";"Soutien de la politique de la défense";"62";"Politique culturelle et éducative - gestion et communication des archives historiques de la défense - Personnel travaillant pour l'action ""Politique culturelle et éducative""";"";"34068624";"";"";"";"";"";"34068624"
"70";"Défense";"212";"Soutien de la politique de la défense";"63";"Restructurations - Personnel travaillant pour l'action ""Restructurations""";"";"154128063";"";"";"";"";"";"154128063"
"70";"Défense";"212";"Soutien de la politique de la défense";"64";"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;"";"401185840";"";"";"";"";"";"401185840"
"70";"Défense";"212";"Soutien de la politique de la défense";"65";"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Liens entre la Nation et son armée""";"";"73537475";"";"";"";"";"";"73537475"
"70";"Défense";"212";"Soutien de la politique de la défense";"66";"Rayonnement et contribution extérieure";"";"82220824";"";"";"";"";"";"82220824"
"70";"Défense";"212";"Soutien de la politique de la défense";"67";"Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH";"";"80564741";"65880";"";"";"";"";"80630621"
