GESTION;2014;;;;;;;;;;;
Type budget;All;;;;;;;;;;;
;;;;;;;;;;;;
CP;;;;;TITRE;;;;;;;
Mission;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;05;Prestations de services : commissions bancaires, frais juridiques et frais liés aux opérations de gestion des participations financières de l'État;;;1 876 333;;;;;1 876 333
Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;06;Versements au profit du Mécanisme européen de stabilité;;;;;;;3 261 744 000;3 261 744 000
Participations financières de l'État;732;Désendettement de l'État et d'établissements publics de l'État;01;Désendettement de l'État ou d'établissements publics de l'État;;;;;;;1 500 000 000;1 500 000 000
Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;01;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;;42 038 843 009;34 775;;;3 500;;42 038 881 284
Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;02;Militaires relevant du code des pensions civiles et militaires de retraite;;9 964 456 350;70 389;;;-12 067;;9 964 514 672
Pensions;741;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;03;Allocations temporaires d'invalidité;;143 208 981;12 045;;;;;143 221 026
Pensions;742;Ouvriers des établissements industriels de l'État;01;Prestations vieillesse et invalidité;;1 842 786 297;;;;;;1 842 786 297
Pensions;742;Ouvriers des établissements industriels de l'État;03;Autres dépenses spécifiques;;429 374;9 691;;;;;439 065
Pensions;742;Ouvriers des établissements industriels de l'État;04;Gestion du régime;;;7 999 435;;;;;7 999 435
Pensions;742;Ouvriers des établissements industriels de l'État;05;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);;56 724 130;690 583;;;;;57 414 713
Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;01;Reconnaissance de la Nation;;;;;;813 980 797;;813 980 797
Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;02;Réparation;;0;50 353;;;1 364 928 130;;1 364 978 483
Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;03;Pensions d'Alsace-Lorraine;;15 327 700;;;;;;15 327 700
Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;04;Allocations de reconnaissance des anciens supplétifs;;;;;;16 412 360;;16 412 360
Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;05;Pensions des anciens agents du chemin de fer franco-éthiopien;;;7 631;;;62 697;;70 328
Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;06;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;345 317;;;12 283 368;;12 628 685
Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;07;Pensions de l'ORTF;;;16 120;;;341 646;;357 766
Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;01;Attractivité économique et compétitivité des territoires;;;7 248 370;;;66 926 023;;74 174 393
Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;02;Développement solidaire et équilibré des territoires;;;1 503 012;;;148 933 099;;150 436 111
Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;04;Instruments de pilotage et d'étude;;14 742 739;7 955 913;;0;3 960 456;;26 659 108
Politique des territoires;162;Interventions territoriales de l'État;02;Eau - Agriculture en Bretagne;;;1 112 352;;19 621;8 373 164;;9 505 137
Politique des territoires;162;Interventions territoriales de l'État;04;Programme exceptionnel d'investissements en faveur de la Corse;;;0;;0;39 009 940;;39 009 940
Politique des territoires;162;Interventions territoriales de l'État;06;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes;;;348 534;;50 716;3 614 228;;4 013 478
Politique des territoires;162;Interventions territoriales de l'État;08;Plan chlordécone en Martinique et en Guadeloupe;;;1 255 751;;;985 816;;2 241 567
Pouvoirs publics;501;Présidence de la République;01;Présidence de la République;100 000 000;;;;;;;100 000 000
Pouvoirs publics;511;Assemblée nationale;01;Assemblée nationale;517 890 000;;;;;;;517 890 000
Pouvoirs publics;521;Sénat;01;Sénat;0;;;;;;;0
Pouvoirs publics;521;Sénat;02;Jardin du Luxembourg;323 584 600;;;;;;;323 584 600
Pouvoirs publics;521;Sénat;03;Musée du Luxembourg;0;;;;;;;0
Pouvoirs publics;531;Conseil constitutionnel;01;Conseil constitutionnel;10 776 000;;;;;;;10 776 000
Pouvoirs publics;532;Haute Cour;01;Haute Cour;0;;;;;;;0
Pouvoirs publics;533;Cour de justice de la République;01;Cour de justice de la République;866 600;;;;;;;866 600
Pouvoirs publics;541;La chaîne parlementaire;01;La chaîne parlementaire - Assemblée nationale;35 210 162;;;;;;;35 210 162
Pouvoirs publics;541;La chaîne parlementaire;02;Public Sénat;0;;;;;;;0
Pouvoirs publics;542;Indemnités des représentants français au Parlement européen;01;Indemnités des représentants français au Parlement européen;0;;;;;;;0
Prêts à des États étrangers;851;Prêts à des États étrangers, de la Réserve pays émergents, en vue de faciliter la réalisation de projets d'infrastructure;01;Prêts à des États étrangers, de la Réserve pays émergents, en vue de faciliter la réalisation de projets d'infrastructure;;;;;;;229 284 918;229 284 918
Prêts à des États étrangers;852;Prêts à des États étrangers pour consolidation de dettes envers la France;01;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;;;;;;;0;0
Prêts à des États étrangers;853;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;01;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;;;;;;327 000 000;327 000 000
