GESTION;2014;;;;;;;;;;;
Type budget;All;;;;;;;;;;;
;;;;;;;;;;;;
CP;;;;;TITRE;;;;;;;
Mission;Programme;Libellé programme;Action;Libellé action;T1;T2;T3;T4;T5;T6;T7;Total général
Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);04;Autres recherches et développements technologiques duaux;;;5 700 000;;;;;5 700 000
Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;01;Organismes de formation supérieure et de recherche;;99 912 660;194 223 552;;0;4 921 303;0;299 057 515
Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;02;Soutien et diffusion de l'innovation technologique;;;13 876 251;;;331 911 220;0;345 787 471
Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;03;Soutien de la recherche industrielle stratégique;;;2 233;;;297 299 246;;297 301 479
Recherche et enseignement supérieur;193;Recherche spatiale;01;Développement de la technologie spatiale au service de la science;;;71 092 254;;;109 187 668;;180 279 922
Recherche et enseignement supérieur;193;Recherche spatiale;02;Développement de la technologie spatiale au service de l'observation de la terre;;;164 934 028;;;110 399 638;;275 333 666
Recherche et enseignement supérieur;193;Recherche spatiale;03;Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication;;;29 005 640;;;87 635 906;;116 641 546
Recherche et enseignement supérieur;193;Recherche spatiale;04;Maîtrise de l'accès à l'espace;;;133 084 698;;;324 006 769;;457 091 467
Recherche et enseignement supérieur;193;Recherche spatiale;05;Maîtrise des technologies orbitales et de l'innovation technologique;;;113 747 605;;;105 287 184;;219 034 789
Recherche et enseignement supérieur;193;Recherche spatiale;06;Moyens généraux et d'appui à la recherche;;;31 948 170;;;26 117 385;;58 065 555
Recherche et enseignement supérieur;193;Recherche spatiale;07;Développement des satellites de météorologie;;;;;;39 414 851;;39 414 851
Recherche et enseignement supérieur;231;Vie étudiante;01;Aides directes;;;26 692 009;;;2 022 794 515;0;2 049 486 524
Recherche et enseignement supérieur;231;Vie étudiante;02;Aides indirectes;;;162 658 776;;5 091 261;7 724 500;77 440 283;252 914 820
Recherche et enseignement supérieur;231;Vie étudiante;03;Santé des étudiants et activités associatives, culturelles et sportives;;;47 939 437;;;9 988 649;;57 928 086
Recherche et enseignement supérieur;231;Vie étudiante;04;Pilotage et animation du programme;;;88 213 155;;;;2 447 259;90 660 414
Recherche et enseignement supérieur;409;Écosystèmes d'excellence;01;Équipements d'excellence;;;;;;200 000 000;165 000 000;365 000 000
Recherche et enseignement supérieur;409;Écosystèmes d'excellence;02;Initiatives d'excellence;;;;;;;3 100 000 000;3 100 000 000
Recherche et enseignement supérieur;409;Écosystèmes d'excellence;03;Technologies-clés génériques;;;;;;60 000 000;;60 000 000
Recherche et enseignement supérieur;409;Écosystèmes d'excellence;04;Espace, lanceurs, satellites;;;;;;61 500 000;;61 500 000
Recherche et enseignement supérieur;409;Écosystèmes d'excellence;05;Recherche hospitalo-universitaire en santé;;;100 000 000;;;200 000 000;50 000 000;350 000 000
Recherche et enseignement supérieur;409;Écosystèmes d'excellence;06;Calcul intensif;;;;;;50 000 000;;50 000 000
Recherche et enseignement supérieur;410;Recherche dans le domaine de l'aéronautique;01;Démonstrateurs technologiques aéronautiques;;;;;;1 008 500 000;0;1 008 500 000
Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;01;Versements au fonds spécial de retraite de la caisse autonome nationale de sécurité sociale dans les mines;;;;;;1 385 838 598;;1 385 838 598
Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;02;Régime de retraite de la SEITA;;;;;;167 663 634;;167 663 634
Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;03;Caisse des retraites de l'Imprimerie nationale;;;;;;0;;0
Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;04;Caisse des retraites des régies ferroviaires d'outre-mer;;;;;;2 900 000;;2 900 000
Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;07;Versements liés à la liquidation de l'ORTF;;;;;;350 000;;350 000
Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;10;Caisse de retraite des fonctionnaires de Mayotte (CRFM);;;;;;0;;0
Régimes sociaux et de retraite;197;Régimes de retraite et de sécurité sociale des marins;01;Régimes de retraite et de sécurité sociale des marins;;;10 788 170;;;809 423 131;;820 211 301
Régimes sociaux et de retraite;197;Régimes de retraite et de sécurité sociale des marins;03;Action sanitaire et sociale des marins;;;0;;;0;;0
Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;03;Régime de retraite du personnel de la SNCF;;;;;;3 310 926 552;;3 310 926 552
Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;04;Régime de retraite du personnel de la RATP;;;;;;619 000 000;;619 000 000
Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;05;Autres régimes;;;;;;199 377 499;;199 377 499
Relations avec les collectivités territoriales;119;Concours financiers aux communes et groupements de communes;01;Soutien aux projets des communes et groupements de communes;;;0;;;629 775 653;;629 775 653
Relations avec les collectivités territoriales;119;Concours financiers aux communes et groupements de communes;02;Dotation générale de décentralisation;;;982;;;129 406 817;;129 407 799
Relations avec les collectivités territoriales;120;Concours financiers aux départements;01;Aides à l'équipement des départements;;;;;;207 155 761;;207 155 761
Relations avec les collectivités territoriales;120;Concours financiers aux départements;02;Dotation générale de décentralisation;;;;;;270 919 513;;270 919 513
Relations avec les collectivités territoriales;121;Concours financiers aux régions;02;Dotation générale de décentralisation;;;;;;983 459 660;;983 459 660
Relations avec les collectivités territoriales;122;Concours spécifiques et administration;01;Aides exceptionnelles aux collectivités territoriales;;;24 998;;;145 399 749;;145 424 747
Relations avec les collectivités territoriales;122;Concours spécifiques et administration;02;Administration des relations avec les collectivités territoriales;;;1 353 040;;1 116 855;480 000;;2 949 895
Relations avec les collectivités territoriales;122;Concours spécifiques et administration;03;Dotation générale de décentralisation;;;7;;;223 671 433;;223 671 440
Relations avec les collectivités territoriales;122;Concours spécifiques et administration;04;Dotations Outre-Mer;;;;;;145 212 864;;145 212 864
Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);11;Remboursements et restitutions liés à la mécanique de l'impôt;;;;;;62 394 485 791;;62 394 485 791
Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);12;Remboursements et dégrèvements liées à des politiques publiques;;;1;;;11 597 055 280;;11 597 055 281
Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);13;Remboursements et dégrèvements liés à la gestion des produits de l'Etat;;;3 218 383 763;;;7 419 172 266;;10 637 556 029
Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);01;Taxe professionnelle et contribution économique territoriale  et autres impôts économiques créés ou modifiés dans le cadre de la réforme de la taxe professionnelle;;;;;;6 479 805 107;0;6 479 805 107
Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);02;Taxes foncières;;;;;;984 685 316;;984 685 316
Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);03;Taxe d'habitation;;;;;;3 556 290 477;;3 556 290 477
Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);04;Admission en non valeur d'impôts locaux;;;;;;480 923 143;;480 923 143
Santé;183;Protection maladie;01;Accès à la protection maladie complémentaire;;;0;;;;;0
Santé;183;Protection maladie;02;Aide médicale de l'Etat;;;299 851;;;759 603 088;;759 902 939
Santé;183;Protection maladie;03;Fonds d'indemnisation des victimes de l'amiante;;;;;;0;;0
Santé;204;Prévention, sécurité sanitaire et offre de soins;11;Pilotage de la politique de santé publique;;;71 386 259;;0;8 926 289;;80 312 548
Santé;204;Prévention, sécurité sanitaire et offre de soins;12;Accès à la santé et éducation à la santé;;;21 236 654;;;1 575 792;;22 812 446
Santé;204;Prévention, sécurité sanitaire et offre de soins;13;Prévention des risques infectieux et des risques liés aux soins;;;448 488;;;6 948 175;;7 396 663
Santé;204;Prévention, sécurité sanitaire et offre de soins;14;Prévention des maladies chroniques et qualité de vie des malades;;;43 922 337;;;5 211 268;;49 133 605
Santé;204;Prévention, sécurité sanitaire et offre de soins;15;Prévention des risques liés à l'environnement, au travail et à l'alimentation;;;12 710 085;;;5 165 300;;17 875 385
Santé;204;Prévention, sécurité sanitaire et offre de soins;16;Réponse aux alertes et gestion des urgences, des situations exceptionnelles et des crises sanitaires;;;16 584 881;;;0;;16 584 881
Santé;204;Prévention, sécurité sanitaire et offre de soins;17;Qualité, sécurité et gestion des produits de santé et du corps humain;;;115 319 688;;;3 638 423;;118 958 111
Santé;204;Prévention, sécurité sanitaire et offre de soins;18;Projets régionaux de santé;;;;;;122 286 758;;122 286 758
Santé;204;Prévention, sécurité sanitaire et offre de soins;19;Modernisation de l'offre de soins;;;7 721 729;;;186 891 214;;194 612 943
Sécurités;152;Gendarmerie nationale;01;Ordre et sécurité publics;;3 151 882 243;47 998;;53 346;0;;3 151 983 587
Sécurités;152;Gendarmerie nationale;02;Sécurité routière;;746 985 802;;;;;;746 985 802
Sécurités;152;Gendarmerie nationale;03;Missions de police judiciaire et concours à la justice;;1 888 385 596;;;;;;1 888 385 596
Sécurités;152;Gendarmerie nationale;04;Commandement, ressources humaines et logistique;;935 621 861;1 097 554 707;803;108 327 665;11 166 501;;2 152 671 537
Sécurités;152;Gendarmerie nationale;05;Exercice des missions militaires;;136 501 539;;;;;;136 501 539
Sécurités;161;Sécurité civile;01;Participation de l'Etat à la lutte aérienne contre les feux de forêts;;0;0;;;;;0
Sécurités;161;Sécurité civile;02;Interventions spécialisées des moyens nationaux terrestres;;0;0;;0;;;0
Sécurités;161;Sécurité civile;03;Secours à personne par hélicoptère en milieux difficiles;;0;0;;0;;;0
Sécurités;161;Sécurité civile;04;Neutralisation des engins explosifs;;0;0;;0;;;0
Sécurités;161;Sécurité civile;05;Pilotage de la politique de sécurité civile;;0;;;;;;0
Sécurités;161;Sécurité civile;11;Prévention et gestion de crises;;9 441 263;16 772 687;;5 545 390;2 355 840;;34 115 180
Sécurités;161;Sécurité civile;12;Préparation et interventions spécialisées des moyens nationaux;;148 960 907;84 492 873;;4 046 376;76 725;;237 576 881
Sécurités;161;Sécurité civile;13;Soutien aux acteurs de la sécurité civile;;2 460 220;36 324 774;;3 776 277;103 546 231;2 418 000;148 525 502
Sécurités;161;Sécurité civile;14;Fonctionnement, soutien et logistique;;4 045 108;2 787 398;;0;19 000;;6 851 506
Sécurités;176;Police nationale;01;Ordre public et protection de la souveraineté;;1 207 876 187;75 521;;;0;;1 207 951 708
Sécurités;176;Police nationale;02;Sécurité et paix publiques;;2 354 653 581;;;0;0;;2 354 653 581
Sécurités;176;Police nationale;03;Sécurité routière;;381 726 848;0;;;;;381 726 848
Sécurités;176;Police nationale;04;Police des étrangers et sûreté des transports internationaux;;1 081 729 278;7 251;;;;;1 081 736 529
Sécurités;176;Police nationale;05;Missions de police judiciaire et concours à la justice;;2 249 989 759;6 780;;;;;2 249 996 539
Sécurités;176;Police nationale;06;Commandement, ressources humaines et logistique;;1 292 268 079;728 504 978;615;130 115 806;40 322 975;0;2 191 212 453
Sécurités;207;Sécurité et éducation routières;01;Observation, prospective, réglementation et soutien au programme;;82 501 303;1 869 387;;9 913;974 211;;85 354 814
Sécurités;207;Sécurité et éducation routières;02;Démarches interministérielles et communication;;;17 801 071;;63 806;3 991 111;;21 855 988
Sécurités;207;Sécurité et éducation routières;03;Éducation routière;;;12 059 947;;2 342 755;4 005 287;;18 407 989
Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;01;Contribution à l’exploitation des services nationaux de transport conventionnés;;;;;;113 900 000;;113 900 000
Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;02;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;;;87 293;;;;;87 293
Services nationaux de transport conventionnés de voyageurs;786;Matériel roulant des services nationaux de transport conventionnés;01;Contribution au matériel roulant des services nationaux de transport conventionnés;;;;;;0;;0
Services nationaux de transport conventionnés de voyageurs;786;Matériel roulant des services nationaux de transport conventionnés;02;Frais d'enquêtes, d'études et de conseil relatifs au matériel roulant des services nationaux de transport conventionnés;;;0;;;;;0
Solidarité, insertion et égalité des chances;106;Actions en faveur des familles vulnérables;01;Accompagnement des jeunes et des familles vulnérables;;;206 896;;;9 294 623;;9 501 519
Solidarité, insertion et égalité des chances;106;Actions en faveur des familles vulnérables;02;Soutien en faveur des familles monoparentales;;;;;;15 000;;15 000
Solidarité, insertion et égalité des chances;106;Actions en faveur des familles vulnérables;03;Protection des enfants et des familles;;;3 171 915;;;235 196 593;;238 368 508
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;10;Fonctionnement des services;;1 222;22 251 417;;817 596;247 096;;23 317 331
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;11;Systèmes d'information;;;39 087 932;;1 830 617;;;40 918 549
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;12;Affaires immobilières;;;84 106 611;;626 677;;;84 733 288
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;13;Certification des formations;;;1 956 559;;;8 456 611;;10 413 170
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;14;Communication;;;4 478 684;;;20 000;;4 498 684
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;15;Affaires européennes et internationales;;;3 796 680;;;2 586 052;5 250;6 387 982
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;16;Statistiques, études et recherche;;;9 209 952;;;3 937 959;;13 147 911
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;17;Financement des agences régionales de santé;;;576 802 268;;;;;576 802 268
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;18;Personnels mettant en oeuvre les politiques sociales et de la santé;;268 775 779;0;;;0;;268 775 779
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;19;Personnels mettant en oeuvre les politiques du sport, de la jeunesse, de l'éducation populaire et de la vie associative;;279 544 236;0;;;0;;279 544 236
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;20;Personnels mettant en oeuvre les politiques pour les droits des femmes;;11 783 254;0;;;0;;11 783 254
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;21;Personnels mettant en œuvre les politiques de la ville, du logement et de l'hébergement;;39 664 925;0;;;0;;39 664 925
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;22;Personnels transversaux et de soutien;;131 458 837;0;;;0;;131 458 837
Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;23;Autres dépenses de personnel;;23 367;20 135 691;;;279 831;;20 438 889
Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;11;Egalité entre les femmes et les hommes dans la vie professionnelle, économique, politique et sociale;;;87 817;;;1 780 413;;1 868 230
Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;12;Promotion des droits, prévention et lutte contre les violences sexistes;;;1 353 658;;;13 109 169;;14 462 827
Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;13;Soutien du programme égalité entre les hommes et les femmes;;;1 210 713;;;3 037;;1 213 750
Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;14;Actions de soutien, d'expérimentation en faveur de l’égalité entre les femmes et les hommes ;;;398 392;;;2 995 513;;3 393 905
Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;15;Prévention et lutte contre la prostitution et la traite des êtres humains;;;226 092;;;1 802 812;;2 028 904
Solidarité, insertion et égalité des chances;157;Handicap et dépendance;01;Évaluation et orientation personnalisée des personnes handicapées;;;626 213;;;65 174 482;;65 800 695
Solidarité, insertion et égalité des chances;157;Handicap et dépendance;02;Incitation à l'activité professionnelle;;;1 095 000;;;2 704 652 733;;2 705 747 733
Solidarité, insertion et égalité des chances;157;Handicap et dépendance;03;Ressources d'existence;;;;;;8 729 558 979;;8 729 558 979
Solidarité, insertion et égalité des chances;157;Handicap et dépendance;04;Compensation des conséquences du handicap;;;59 396;;;20 993 281;;21 052 677
Solidarité, insertion et égalité des chances;157;Handicap et dépendance;05;Personnes âgées;;;7 500;;;3 032 471;;3 039 971
Solidarité, insertion et égalité des chances;157;Handicap et dépendance;06;Pilotage du programme;;;2 126 680;;;2 991 241;;5 117 921
Solidarité, insertion et égalité des chances;304;Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales;11;Revenu de solidarité active;;;0;;;968 439 198;;968 439 198
Solidarité, insertion et égalité des chances;304;Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales;12;Economie sociale et solidaire;;;269 164;;;4 327 671;;4 596 835
Solidarité, insertion et égalité des chances;304;Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales;13;Autres expérimentations;;0;309 927;;;1 582 000;;1 891 927
Solidarité, insertion et égalité des chances;304;Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales;14;Aide alimentaire;;;1 125;;;32 773 597;;32 774 722
Solidarité, insertion et égalité des chances;304;Lutte contre la pauvreté : revenu de solidarité active et expérimentations sociales;15;Qualification en travail social;;;65 386;;;1 821 491;;1 886 877
Sport, jeunesse et vie associative;163;Jeunesse et vie associative;01;Développement de la vie associative;;;148 355;;;12 771 065;;12 919 420
Sport, jeunesse et vie associative;163;Jeunesse et vie associative;02;Actions en faveur de la jeunesse et de l'éducation populaire;;;3 914 066;;;57 811 163;;61 725 229
Sport, jeunesse et vie associative;163;Jeunesse et vie associative;04;Actions particulières en direction de la jeunesse;;;135 548 871;;;-872 500;;134 676 371
Sport, jeunesse et vie associative;219;Sport;01;Promotion du sport pour le plus grand nombre;;;4 093 276;;0;25 032 352;0;29 125 628
Sport, jeunesse et vie associative;219;Sport;02;Développement du sport de haut niveau;;;84 044 090;;18 633 461;64 413 040;2 961 000;170 051 591
Sport, jeunesse et vie associative;219;Sport;03;Prévention par le sport et protection des sportifs;;;491 780;;;15 710 088;;16 201 868
Sport, jeunesse et vie associative;219;Sport;04;Promotion des métiers du sport;;;19 825 433;;;6 403 209;;26 228 642
Sport, jeunesse et vie associative;411;Projets innovants en faveur de la jeunesse;01;Favoriser des politiques de jeunesse intégrées, à l'échelle d'un territoire;;;;;;84 000 000;;84 000 000
Travail et emploi;102;Accès et retour à l'emploi;01;Amélioration de l’efficacité du service public de l’emploi;;;1 491 104 560;;;1 659 955 993;;3 151 060 553
Travail et emploi;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l’emploi des personnes les plus éloignées du marché du travail;;;127 844 247;;;3 914 888 393;;4 042 732 640
Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;;;7 649 669;;;597 274 640;;604 924 309
Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;02;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;;;47 161 439;;;1 654 807 701;0;1 701 969 140
Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;;;1 343 656;;;244 271 693;;245 615 349
Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;01;Santé et sécurité au travail;;;20 434 110;;;4 951 034;;25 385 144
Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;02;Qualité et effectivité du droit;;;397 567;;;6 754 911;;7 152 478
Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;03;Dialogue social et démocratie sociale;;;1 967 422;;64 990;25 716 380;;27 748 792
Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;05;Fonds national de soutien relatif à la pénibilité;;;;;;0;;0
Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;02;Gestion des effectifs du programme « accès et retour à l’emploi »;;97 488 069;672;;;;;97 488 741
Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;03;Gestion des effectifs du programme « accompagnement des mutations économiques et développement de l’emploi »;;97 981 903;;;;;;97 981 903
Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;04;Gestion des effectifs du programme « amélioration de la qualité de l’emploi et des relations du travail »;;282 928 415;;;;;;282 928 415
Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;05;Soutien;;130 692 521;83 595 266;;3 675 749;307 769;;218 271 305
Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;06;Études, statistiques, évaluation et recherche;;21 259 432;10 786 573;;;60 000;;32 106 005
Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;07;Fonds social européen - Assistance technique;;811;12 535 570;;;70 051;;12 606 432
Travail et emploi;412;Formation et mutations économiques;01;Partenariats territoriaux pour l'emploi et la formation;;;;;;126 000 000;;126 000 000
